Timestamp,Age,Preferred_Sport
4/3/2023 10:49:42,18,Soccer
4/3/2023 10:56:03,18,Football
4/3/2023 10:56:10,19,Football
4/3/2023 11:31:06,19,Football
4/4/2023 10:43:19,21,Soccer
4/4/2023 10:48:07,31,Soccer
4/4/2023 10:48:51,18,Soccer
4/4/2023 10:49:33,18,Soccer
4/4/2023 10:50:22,21,Soccer
4/4/2023 10:51:58,18,Soccer
4/4/2023 10:56:38,18,Football
4/4/2023 10:58:20,18,Soccer
4/4/2023 10:58:25,24,Soccer
4/4/2023 10:58:35,20,Soccer
4/4/2023 11:08:02,49,Soccer
4/4/2023 11:32:17,19,Soccer
4/4/2023 19:44:12,18,Soccer
4/4/2023 20:14:32,21,Soccer
4/4/2023 20:20:24,22,Soccer
4/4/2023 20:25:19,19,Soccer
4/4/2023 20:28:13,19,Football
4/4/2023 20:49:02,18,Soccer
4/4/2023 20:58:09,19,Football
4/4/2023 21:00:47,18,Soccer
4/4/2023 21:05:16,19,Soccer
4/4/2023 21:10:57,18,Soccer
4/4/2023 21:21:52,18,Football
4/4/2023 21:27:01,18,Football
4/4/2023 21:27:38,20,Soccer
4/4/2023 22:17:48,19,Soccer
4/4/2023 22:33:10,19,Football
4/4/2023 22:39:03,18,Football
4/4/2023 23:03:38,19,Football
4/5/2023 0:43:16,18,Football
4/5/2023 2:58:17,23,Soccer
4/5/2023 7:06:38,18,Football
4/5/2023 7:35:45,18,Soccer
4/5/2023 9:50:23,19,Soccer
4/5/2023 9:54:33,21,Soccer
4/5/2023 9:54:41,15,Soccer
4/5/2023 9:54:50,12,Soccer
4/5/2023 9:54:59,47,Soccer
4/5/2023 9:55:27,44,Soccer
4/5/2023 10:01:16,19,Soccer
4/5/2023 10:13:28,19,Football
4/5/2023 11:09:12,18,Soccer
4/5/2023 11:12:56,18,Football
4/5/2023 12:18:45,25,Soccer
4/5/2023 14:18:54,18,Soccer
4/6/2023 11:57:06,18,Soccer
4/6/2023 11:58:22,19,Football
4/6/2023 12:13:35,25,Soccer
4/6/2023 13:11:56,22,Football
4/6/2023 13:15:08,20,Soccer
4/6/2023 13:15:12,18,Soccer
4/6/2023 13:15:17,20,Soccer
4/6/2023 13:15:40,18,Football
4/6/2023 13:16:18,19,Soccer
4/6/2023 13:16:35,39,Soccer
4/6/2023 13:25:16,32,Soccer
4/6/2023 13:30:48,19,Soccer
4/6/2023 13:31:29,20,Soccer
4/6/2023 13:33:08,22,Soccer
4/6/2023 13:33:18,20,Soccer
4/6/2023 13:33:27,18,Soccer
4/6/2023 13:46:47,27,Soccer
4/6/2023 13:48:06,30,Soccer
4/6/2023 13:48:17,45,Football
4/6/2023 13:48:36,47,Soccer
4/6/2023 13:51:24,35,Football
4/6/2023 13:52:15,33,Football
4/6/2023 13:52:47,31,Football
4/6/2023 13:53:01,20,Football
4/6/2023 13:53:12,36,Football
4/6/2023 13:57:32,13,Football
4/6/2023 13:57:45,8,Football
4/6/2023 13:59:34,44,Soccer
4/6/2023 13:59:59,46,Soccer
4/6/2023 14:00:59,44,Soccer
4/6/2023 14:01:33,43,Football
4/6/2023 14:04:16,17,Soccer
4/6/2023 14:07:23,56,Soccer
4/6/2023 14:07:59,53,Soccer
4/6/2023 14:08:45,31,Soccer
4/6/2023 14:10:34,28,Soccer
4/6/2023 14:10:53,17,Soccer
4/6/2023 14:11:19,31,Soccer
4/6/2023 14:11:23,46,Soccer
4/6/2023 14:12:35,32,Soccer
4/6/2023 14:12:36,8,Soccer
4/6/2023 14:12:59,4,Soccer
4/6/2023 14:13:06,33,Football
4/6/2023 14:13:34,56,Football
4/6/2023 14:14:12,59,Football
4/6/2023 14:14:43,25,Football
4/6/2023 14:15:01,27,Football
4/6/2023 14:15:57,52,Football
4/6/2023 14:17:42,42,Football
4/6/2023 14:19:45,32,Football
4/6/2023 14:19:52,34,Football
4/6/2023 16:29:17,18,Soccer
4/6/2023 16:29:26,17,Soccer
4/6/2023 16:29:46,18,Soccer
4/6/2023 16:29:56,17,Soccer
4/6/2023 16:29:56,18,Soccer
4/6/2023 16:30:01,17,Football
4/6/2023 16:30:04,18,Soccer
4/6/2023 16:30:05,17,Soccer
4/6/2023 16:30:39,18,Soccer